fuzz;1hx3;docker;sdo;docker-robofuzz-TB3.sh;1h;1679400338777.out;4966;0;1;176
fuzz;1hx3;docker;sdo;docker-robofuzz-TB3.sh;1h;1679407654679.out;4016;0;1;176
fuzz;1hx3;docker;sdo;docker-robofuzz-TB3.sh;1h;1679414937009.out;4992;0;1;176
fuzz;1hx3;singularity;hpc;singularity-robofuzz-TB3.sh;1h;1799047.pyout;883;0;1;47
fuzz;1hx3;singularity;hpc;singularity-robofuzz-TB3.sh;1h;1799065.pyout;840;0;1;45
fuzz;1hx3;singularity;hpc;singularity-robofuzz-TB3.sh;1h;1799118.pyout;822;0;1;44
fuzz;1hx3;singularity;sdo;singularity-robofuzz-TB3.sh;1h;1679667740907.pyout;3070;0;1;170
fuzz;1hx3;singularity;sdo;singularity-robofuzz-TB3.sh;1h;1679674988934.pyout;3026;0;1;167
fuzz;1hx3;singularity;sdo;singularity-robofuzz-TB3.sh;1h;1679682235693.pyout;3105;0;1;171
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798773.pyout;244;0;1;12
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798775.pyout;243;0;1;12
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798777.pyout;244;0;1;12
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798779.pyout;226;0;1;11
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798781.pyout;261;0;1;13
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798783.pyout;131;0;1;6
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798785.pyout;207;0;1;10
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798787.pyout;263;0;1;13
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798789.pyout;1502;0;1;81
fuzz;2hx10+10;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798791.pyout;1540;0;1;83
fuzz;2hx20+20;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798793.pyout;356;0;1;18
fuzz;2hx20+20;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798795.pyout;322;0;1;16
fuzz;2hx20+20;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798797.pyout;299;0;1;15
fuzz;2hx20+20;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798799.pyout;298;0;1;15
fuzz;2hx20+20;singularity;hpc;singularity-robofuzz-TB3.sh;2h;1798801.pyout;301;0;1;15
